School Board District,Ward,Aldermanic District
1,1,9
1,2,9
1,3,9
1,4,9
1,5,9
1,6,9
1,7,9
1,8,5
1,9,9
1,10,9
1,11,9
1,12,9
1,13,9
1,14,9
1,15,9
1,16,9
1,17,9
1,18,1
1,19,1
1,20,1
1,21,1
1,22,1
1,23,9
1,24,9
1,25,2
1,26,2
1,27,2
1,28,2
1,29,2
1,30,2
1,31,2
1,32,2
1,33,5
1,34,5
2,35,5
2,36,5
2,37,2
2,38,2
2,39,2
2,40,2
2,41,2
2,42,2
2,43,2
2,44,2
2,70,2
2,72,2
2,73,2
2,74,2
2,75,5
2,76,5
2,77,5
2,78,5
2,79,5
2,80,5
2,81,5
2,82,5
2,83,5
2,84,5
2,85,5
2,86,5
2,87,5
2,88,5
2,89,5
2,90,5
2,91,10
2,92,10
2,93,10
2,94,10
2,95,10
2,157,15
2,161,7
2,162,15
2,163,10
2,164,10
2,165,10
2,166,10
2,167,10
2,168,10
2,204,10
3,45,2
3,46,7
3,47,1
3,48,1
3,49,1
3,50,1
3,51,1
3,52,1
3,53,1
3,54,1
3,55,1
3,56,1
3,57,1
3,58,1
3,59,1
3,60,1
3,61,1
3,62,1
3,63,1
3,64,7
3,65,7
3,66,7
3,67,7
3,68,7
3,69,7
3,71,2
3,96,10
3,97,7
3,98,7
3,99,7
3,100,7
3,101,7
3,102,7
3,103,7
3,104,7
3,105,7
3,106,7
3,107,7
3,108,6
3,114,6
3,115,6
3,118,6
4,109,6
4,110,7
4,111,7
4,112,6
4,113,6
4,116,6
4,117,6
4,143,15
4,144,15
4,145,15
4,146,15
4,147,15
4,148,15
4,149,15
4,150,15
4,151,15
4,152,15
4,153,15
4,154,15
4,155,15
4,156,15
4,158,15
4,159,15
4,160,7
4,169,15
4,170,15
4,171,15
4,172,15
4,173,15
4,174,15
4,175,6
4,189,4
4,191,4
4,192,4
4,193,4
4,194,4
4,195,4
4,198,4
4,199,4
4,200,4
4,201,15
4,202,10
4,203,10
4,205,10
4,214,10
5,119,6
5,120,6
5,121,6
5,122,6
5,123,6
5,124,6
5,125,3
5,126,3
5,127,3
5,128,3
5,129,3
5,130,3
5,131,3
5,132,3
5,133,3
5,134,3
5,135,3
5,136,3
5,137,3
5,138,3
5,139,6
5,140,6
5,141,6
5,142,6
5,176,6
5,177,6
5,178,3
5,179,3
5,180,3
5,181,4
5,182,3
5,183,3
5,184,4
5,185,4
5,187,4
5,188,4
6,218,8
6,219,8
6,220,8
6,221,8
6,222,8
6,223,8
6,224,8
6,225,8
6,226,8
6,228,12
6,229,12
6,230,12
6,231,12
6,232,12
6,233,12
6,234,12
6,235,12
6,236,12
6,237,12
6,238,12
6,239,12
6,250,12
6,251,14
6,252,14
6,253,12
6,254,12
6,255,12
6,256,12
6,257,12
6,258,8
6,320,12
6,321,8
6,322,12
6,323,12
6,324,14
7,190,4
7,196,4
7,197,4
7,206,10
7,207,10
7,208,10
7,209,10
7,210,10
7,211,10
7,212,10
7,213,10
7,215,8
7,216,8
7,217,8
7,227,8
7,259,8
7,260,11
7,261,11
7,262,11
7,263,11
7,264,11
7,265,11
7,266,11
7,267,11
7,268,11
7,269,11
7,270,11
7,271,11
7,272,11
7,273,11
7,274,11
7,275,11
7,276,11
7,277,11
7,278,11
7,279,11
7,280,11
7,281,11
7,282,13
7,283,13
7,284,13
7,326,11
8,186,4
8,240,12
8,241,14
8,242,14
8,243,14
8,244,14
8,245,14
8,246,14
8,247,14
8,248,14
8,249,14
8,285,13
8,286,13
8,287,13
8,288,13
8,289,14
8,290,14
8,291,14
8,292,14
8,293,13
8,294,14
8,295,14
8,296,14
8,297,14
8,298,14
8,299,14
8,300,14
8,301,14
8,302,14
8,303,13
8,304,13
8,305,13
8,306,13
8,307,13
8,308,13
8,309,13
8,310,13
8,311,13
8,312,13
8,313,13
8,314,13
8,315,13
8,316,13
8,317,13
8,325,14
1,318,9
1,319,5
7,327,13
